INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,PRES,TEMP
1,T,231128,224051,48.153404N,17.059633E,135,45.9,297,984.5,25
2,T,231128,224055,48.153561N,17.058941E,136,48.7,289,984.3,25
3,T,231128,224059,48.153702N,17.058245E,137,46.2,289,984.2,25
4,T,231128,224104,48.153858N,17.057484E,139,39.0,286,983.9,25
5,T,231128,224114,48.153793N,17.057171E,143,21.5,106,983.8,26
6,T,231128,224119,48.153606N,17.057837E,144,41.5,109,983.9,26
7,T,231128,224123,48.153427N,17.058523E,143,47.4,107,984.2,26
8,T,231128,224127,48.153271N,17.059210E,142,47.3,107,984.4,26
9,T,231128,224131,48.153118N,17.059881E,141,43.3,109,984.7,26
10,T,231128,224136,48.152824N,17.060583E,140,42.2,133,985.1,26
11,T,231128,224140,48.152397N,17.061016E,140,48.8,151,985.2,26
12,T,231128,224144,48.151917N,17.061323E,139,48.7,156,985.3,26
13,T,231128,224148,48.151447N,17.061638E,139,46.1,156,985.5,26
14,T,231128,224152,48.151001N,17.061932E,140,47.2,155,985.6,26
15,T,231128,224156,48.150574N,17.062210E,140,42.6,156,985.7,26
16,T,231128,224200,48.150139N,17.062422E,140,42.3,161,985.6,26
17,T,231128,224205,48.149620N,17.062731E,140,45.1,155,985.8,26
18,T,231128,224209,48.149220N,17.063065E,140,45.5,149,985.9,26
19,T,231128,224213,48.148808N,17.063396E,141,46.2,147,985.8,26
20,T,231128,224217,48.148476N,17.063854E,141,46.0,130,985.9,26
21,T,231128,224221,48.148232N,17.064451E,141,50.7,113,985.8,26
22,T,231128,224225,48.148090N,17.065241E,138,54.5,98,985.8,26
23,T,231128,224229,48.148071N,17.066069E,136,53.4,91,985.7,26
24,T,231128,224233,48.148075N,17.066883E,136,53.1,91,985.5,26
25,T,231128,224237,48.148071N,17.067696E,136,52.1,92,985.4,26
26,T,231128,224241,48.148102N,17.068468E,136,49.9,87,985.2,26
27,T,231128,224245,48.148129N,17.069246E,137,50.9,87,985.0,26
28,T,231128,224249,48.148148N,17.069986E,136,50.8,90,985.1,26
29,T,231128,224253,48.148121N,17.070757E,136,53.1,94,985.0,26
30,T,231128,224257,48.148041N,17.071585E,138,54.3,99,984.9,26
31,T,231128,224301,48.147968N,17.072435E,139,55.8,95,984.7,26
32,T,231128,224305,48.147945N,17.073309E,140,56.7,91,984.8,26
33,T,231128,224309,48.147881N,17.074100E,140,52.1,98,985.0,26
34,T,231128,224313,48.147648N,17.074808E,140,55.1,121,985.1,26
35,T,231128,224317,48.147186N,17.075403E,141,61.8,146,985.1,26
36,T,231128,224320,48.146729N,17.075628E,142,62.6,167,984.7,26
37,T,231128,224323,48.146217N,17.075697E,144,69.2,178,984.4,26
38,T,231128,224326,48.145653N,17.075670E,146,75.7,180,984.0,26
39,T,231128,224329,48.145073N,17.075640E,147,78.0,182,983.9,26
40,T,231128,224332,48.144470N,17.075563E,147,81.8,186,983.8,26
41,T,231128,224335,48.143837N,17.075453E,149,85.9,186,983.9,26
42,T,231128,224338,48.143185N,17.075357E,150,88.9,185,983.9,26
43,T,231128,224340,48.142738N,17.075275E,150,89.1,187,983.8,26
44,T,231128,224342,48.142288N,17.075199E,150,91.2,184,983.9,26
45,T,231128,224344,48.141808N,17.075140E,150,99.0,185,983.6,26
46,T,231128,224346,48.141293N,17.075052E,151,104.5,186,983.5,26
47,T,231128,224348,48.140747N,17.074957E,151,111.9,186,983.5,26
48,T,231128,224350,48.140152N,17.074850E,151,115.2,186,983.4,26
49,T,231128,224352,48.139572N,17.074751E,149,113.0,186,983.6,26
50,T,231128,224354,48.139008N,17.074656E,147,111.1,186,983.6,26
51,T,231128,224356,48.138454N,17.074558E,145,109.4,186,983.9,26
52,T,231128,224358,48.137913N,17.074459E,144,109.0,186,984.1,26
53,T,231128,224400,48.137375N,17.074387E,142,106.6,183,984.3,26
54,T,231128,224402,48.136848N,17.074343E,140,105.2,183,984.4,26
55,T,231128,224404,48.136333N,17.074303E,139,102.4,182,984.8,26
56,T,231128,224406,48.135834N,17.074274E,138,99.7,182,984.9,26
57,T,231128,224408,48.135342N,17.074249E,137,98.5,181,985.2,26
58,T,231128,224410,48.134853N,17.074230E,136,98.2,181,985.2,26
59,T,231128,224412,48.134369N,17.074217E,135,97.5,181,985.6,26
60,T,231128,224414,48.133884N,17.074209E,135,96.0,179,985.8,26
61,T,231128,224416,48.133411N,17.074217E,135,93.8,178,985.8,26
62,T,231128,224418,48.132954N,17.074234E,135,92.5,179,985.8,26
63,T,231128,224420,48.132488N,17.074236E,134,93.5,180,986.0,26
64,T,231128,224422,48.132027N,17.074228E,135,93.4,180,986.1,26
65,T,231128,224424,48.131569N,17.074226E,135,93.6,179,986.2,26
66,T,231128,224426,48.131111N,17.074230E,137,93.3,180,985.9,26
67,T,231128,224428,48.130650N,17.074234E,138,93.0,179,985.7,26
68,T,231128,224430,48.130184N,17.074232E,139,94.2,179,985.7,26
69,T,231128,224432,48.129715N,17.074251E,140,94.4,177,985.6,26
70,T,231128,224434,48.129253N,17.074316E,141,94.5,171,985.5,26
71,T,231128,224436,48.128803N,17.074486E,143,94.4,162,985.3,26
72,T,231128,224438,48.128380N,17.074745E,143,91.3,155,985.2,26
73,T,231128,224440,48.127983N,17.075096E,144,90.3,145,985.0,26
74,T,231128,224442,48.127617N,17.075518E,144,92.9,138,984.9,26
75,T,231128,224444,48.127296N,17.076031E,144,93.6,129,984.8,26
76,T,231128,224446,48.127033N,17.076624E,143,94.5,119,984.7,26
77,T,231128,224448,48.126827N,17.077286E,142,98.5,110,984.7,26
78,T,231128,224450,48.126701N,17.077984E,140,96.6,102,984.9,26
79,T,231128,224452,48.126629N,17.078680E,139,92.4,96,984.9,26
80,T,231128,224454,48.126614N,17.079372E,137,91.9,90,985.1,26
81,T,231128,224456,48.126713N,17.080053E,136,91.1,75,985.3,26
82,T,231128,224458,48.126877N,17.080734E,134,95.2,67,985.4,26
83,T,231128,224500,48.127125N,17.081379E,132,94.4,60,985.4,26
84,T,231128,224502,48.127388N,17.081999E,131,96.4,57,985.6,26
85,T,231128,224504,48.127670N,17.082617E,130,96.9,56,985.8,26
86,T,231128,224506,48.127956N,17.083225E,129,97.1,56,985.8,26
87,T,231128,224508,48.128239N,17.083839E,129,97.6,56,985.8,26
88,T,231128,224510,48.128517N,17.084455E,130,96.8,57,985.7,26
89,T,231128,224512,48.128784N,17.085064E,129,95.7,57,985.7,26
90,T,231128,224514,48.129059N,17.085678E,129,96.6,56,985.8,26
91,T,231128,224516,48.129349N,17.086315E,131,97.1,58,985.8,26
92,T,231128,224518,48.129612N,17.086948E,132,97.1,58,985.8,26
93,T,231128,224520,48.129868N,17.087576E,133,97.7,58,985.8,26
